Finished creating Adj List
In main
872082 875051
872075 875050
872042 875049
872040 875048
872039 875047
872035 875046
872034 875045
872013 875044
872012 875043
872011 875042
872010 875041
872009 875040
871987 875039
871986 875038
871985 875037
871977 875036
871970 875035
871921 875034
871895 875033
871894 875032
871860 875031
871849 875030
871848 875029
871847 875028
871846 875027
871845 875026
871844 875025
871843 875024
871842 875023
871818 875022
871817 875021
871816 875020
871815 875019
871814 875018
871783 875017
871754 875016
871752 875015
871726 875014
871725 875013
871714 875012
871713 875011
871712 875010
871711 875009
871707 875008
871702 875007
871701 875006
871698 875005
871697 875004
871664 875003
871663 875002
871623 875001
871622 875000
871621 874999
871495 874998
871494 874997
871493 874996
871478 874995
874617 874994
871477 874993
871450 874992
871449 874991
871448 874990
871389 874989
871358 874988
871357 874987
871356 874986
871344 874985
871307 874984
871306 874983
871305 874982
871304 874981
871303 874980
871302 874979
871301 874978
871300 874977
871299 874976
871298 874975
871297 874974
871296 874973
871295 874972
871294 874971
871293 874970
871252 874969
871199 874968
871198 874967
871197 874966
871196 874965
871184 874964
871145 874963
871144 874962
871140 874961
871139 874960
871120 874959
871093 874958
871076 874957
871075 874956
871074 874955
871073 874954
871072 874953
871071 874952
871070 874951
871058 874950
871056 874949
871055 874948
871054 874947
871049 874946
871048 874945
871022 874944
870994 874943
870993 874942
870992 874941
870946 874940
870927 874939
870926 874938
870915 874937
870914 874936
870905 874935
870904 874934
870903 874933
870902 874932
870898 874931
870894 874930
870893 874929
870892 874928
870878 874927
870877 874926
870868 874925
870867 874924
870849 874923
870848 874922
870843 874921
870837 874920
870826 874919
870825 874918
870824 874917
870823 874916
870822 874915
870815 874914
870814 874913
870813 874912
870812 874911
870811 874910
870810 874909
870792 874908
870791 874907
870790 874906
870789 874905
870788 874904
870776 874903
870775 874902
870763 874901
870762 874900
870759 874899
870758 874898
870743 874897
870742 874896
870741 874895
870731 874894
870730 874893
870729 874892
870728 874891
870705 874890
870696 874889
870695 874888
870694 874887
870693 874886
870692 874885
870691 874884
870690 874883
870689 874882
870688 874881
870687 874880
870686 874879
870681 874878
870680 874877
870676 874876
870657 874875
870627 874874
870626 874873
870625 874872
870623 874871
870597 874870
870590 874869
870574 874868
870573 874867
870555 874866
870554 874865
870553 874864
870516 874863
870515 874862
870514 874861
870506 874860
870505 874859
870504 874858
870503 874857
870502 874856
870501 874855
870493 874854
870490 874853
870489 874852
870488 874851
870487 874850
870486 874849
870485 874848
870484 874847
870467 874846
870456 874845
870455 874844
870441 874843
870440 874842
870439 874841
870438 874840
870437 874839
870429 874838
870418 874837
870413 874836
870403 874835
870402 874834
870398 874833
870397 874832
870390 874831
870389 874830
870380 874829
870379 874828
870378 874827
870377 874826
870376 874825
870365 874824
870364 874823
870335 874822
870333 874821
870312 874820
870311 874819
870310 874818
870309 874817
870308 874816
870307 874815
870306 874814
870291 874813
870272 874812
870271 874811
870270 874810
870269 874809
870268 874808
870267 874807
870266 874806
870265 874805
870264 874804
870263 874803
870262 874802
870261 874801
870260 874800
870259 874799
870249 874798
870248 874797
870247 874796
870221 874795
870220 874794
870216 874793
870196 874792
870166 874791
870165 874790
870156 874789
870155 874788
870154 874787
870145 874786
870144 874785
870143 874784
870141 874783
870140 874782
870139 874781
870126 874780
870125 874779
870124 874778
870118 874777
870117 874776
870116 874775
870082 874774
870081 874773
870080 874772
870079 874771
870078 874770
870077 874769
870076 874768
870075 874767
870074 874766
870042 874765
870030 874764
869978 874763
869977 874762
869966 874761
869965 874760
869964 874759
869963 874758
869962 874757
869961 874756
869960 874755
869942 874754
869941 874753
869939 874752
869938 874751
869916 874750
869915 874749
869914 874748
869913 874747
869912 874746
869911 874745
869903 874744
869888 874743
869887 874742
869880 874741
869879 874740
869873 874739
869872 874738
869868 874737
869855 874736
869854 874735
869789 874734
869788 874733
869763 874732
869762 874731
869761 874730
869759 874729
869757 874728
869737 874727
869734 874726
869729 874725
869689 874724
869675 874723
869668 874722
869667 874721
869666 874720
869665 874719
869601 874718
869600 874717
869596 874716
869595 874715
869594 874714
869523 874713
869516 874712
869515 874711
869512 874710
869501 874709
869500 874708
869499 874707
869498 874706
869497 874705
869496 874704
869495 874703
869494 874702
869493 874701
869492 874700
869491 874699
869490 874698
869472 874697
869470 874696
869469 874695
869468 874694
869447 874693
869446 874692
869435 874691
869436 874690
869434 874689
869433 874688
869432 874687
869431 874686
869430 874685
869409 874684
869408 874683
869386 874682
869343 874681
869342 874680
869341 874679
869340 874678
869330 874677
869297 874676
869285 874675
869274 874674
869268 874673
869267 874672
869266 874671
869235 874670
869234 874669
869218 874668
869215 874667
869176 874666
869175 874665
869174 874664
869168 874663
869119 874662
869118 874661
869107 874660
869085 874659
869084 874658
869070 874657
869069 874656
869065 874655
869064 874654
869062 874653
869061 874652
869051 874651
869050 874650
869049 874649
869048 874648
869016 874647
869015 874646
869014 874645
868993 874644
868992 874643
868991 874642
868990 874641
868989 874640
868988 874639
868987 874638
868986 874637
868985 874636
868984 874635
868983 874634
868979 874633
868978 874632
868977 874631
868976 874630
868975 874629
868974 874628
868972 874627
868971 874626
868970 874625
868969 874624
868968 874623
868967 874622
868966 874621
868964 874620
868936 874619
868934 874618
868933 874617
868932 874616
868931 874615
868930 874614
868929 874613
868928 874612
868927 874611
868926 874610
868925 874609
868924 874608
868909 874607
868908 874606
868896 874605
868882 874604
868881 874603
868880 874602
868879 874601
868878 874600
868873 874599
868792 874598
868791 874597
868789 874596
868788 874595
868787 874594
868734 874593
868727 874592
868726 874591
868719 874590
868718 874589
868710 874588
868706 874587
868705 874586
868701 874585
868700 874584
868699 874583
868698 874582
868683 874581
868680 874580
868673 874579
868672 874578
868645 874577
868633 874576
868632 874575
868616 874574
868604 874573
868603 874572
868592 874571
868591 874570
868588 874569
868587 874568
868586 874567
868585 874566
868584 874565
868555 874564
868554 874563
868553 874562
868551 874561
868521 874560
868520 874559
868519 874558
868518 874557
868517 874556
868497 874555
868496 874554
868457 874553
868456 874552
868455 874551
868447 874550
868442 874549
868441 874548
868440 874547
868439 874546
868438 874545
868435 874544
868434 874543
868433 874542
868432 874541
868431 874540
868430 874539
868429 874538
868428 874537
868427 874536
868426 874535
868418 874534
868417 874533
868416 874532
868415 874531
868398 874530
868395 874529
868393 874528
868392 874527
868391 874526
868377 874525
868376 874524
868374 874523
868373 874522
868359 874521
868358 874520
868357 874519
868356 874518
868338 874517
868329 874516
868313 874515
868312 874514
868311 874513
868310 874512
868284 874511
868283 874510
868282 874509
868281 874508
868267 874507
868249 874506
868211 874505
868210 874504
868209 874503
868208 874502
868207 874501
868206 874500
868178 874499
868177 874498
868176 874497
868175 874496
868164 874495
868093 874494
868092 874493
868083 874492
868082 874491
868081 874490
868080 874489
868079 874488
868064 874487
868060 874486
868040 874485
868039 874484
868038 874483
868037 874482
868036 874481
868035 874480
868034 874479
868030 874478
868029 874477
868028 874476
868026 874475
868019 874474
868018 874473
868017 874472
868016 874471
868015 874470
868014 874469
868009 874468
868008 874467
868007 874466
867970 874465
867969 874464
867929 874463
867928 874462
867927 874461
867926 874460
867925 874459
867904 874458
867903 874457
867885 874456
867856 874455
867836 874454
867835 874453
867833 874452
867810 874451
867778 874450
867777 874449
867776 874448
867775 874447
867774 874446
867773 874445
867771 874444
867770 874443
867742 874442
867741 874441
867730 874440
867729 874439
867728 874438
867724 874437
867723 874436
867722 874435
867721 874434
867720 874433
867719 874432
867697 874431
867696 874430
867695 874429
867694 874428
867693 874427
867692 874426
867691 874425
867690 874424
867689 874423
867688 874422
867687 874421
867686 874420
867685 874419
867684 874418
867683 874417
867682 874416
867681 874415
867680 874414
867679 874413
867678 874412
867677 874411
867676 874410
867675 874409
867674 874408
867673 874407
867672 874406
867671 874405
867670 874404
867669 874403
867668 874402
867665 874401
867664 874400
867663 874399
867662 874398
867661 874397
867647 874396
867646 874395
867645 874394
867644 874393
867643 874392
867641 874391
867640 874390
867639 874389
867638 874388
867621 874387
867601 874386
867600 874385
867599 874384
867598 874383
867597 874382
867596 874381
867595 874380
867594 874379
867564 874378
867563 874377
867562 874376
867561 874375
867560 874374
867559 874373
867539 874372
867527 874371
867501 874370
867500 874369
867488 874368
867466 874367
867465 874366
867464 874365
867453 874364
867452 874363
867435 874362
867434 874361
867433 874360
867417 874359
867416 874358
867415 874357
867414 874356
867413 874355
867406 874354
867405 874353
867354 874352
867353 874351
867352 874350
867351 874349
867350 874348
867349 874347
867348 874346
867347 874345
867346 874344
867345 874343
867344 874342
867343 874341
867342 874340
867330 874339
867328 874338
867308 874337
867305 874336
867304 874335
867292 874334
867246 874333
867226 874332
867225 874331
867224 874330
867158 874329
867157 874328
867156 874327
867144 874326
867143 874325
867142 874324
867092 874323
867091 874322
867090 874321
867088 874320
867087 874319
867086 874318
867081 874317
867072 874316
867071 874315
867070 874314
867069 874313
867068 874312
867052 874311
867051 874310
867048 874309
867047 874308
867044 874307
867037 874306
867036 874305
867016 874304
867009 874303
866995 874302
866996 874301
866994 874300
866980 874299
866979 874298
866972 874297
866968 874296
866967 874295
866966 874294
866965 874293
866964 874292
866963 874291
866962 874290
866961 874289
866960 874288
866959 874287
866958 874286
866957 874285
866956 874284
866954 874283
866934 874282
866933 874281
866880 874280
866879 874279
866878 874278
866877 874277
866872 874276
866863 874275
866855 874274
866854 874273
866853 874272
866852 874271
866851 874270
866850 874269
866849 874268
866848 874267
866830 874266
866829 874265
866828 874264
866827 874263
866826 874262
866813 874261
866812 874260
866811 874259
866810 874258
866809 874257
866808 874256
866807 874255
866806 874254
866805 874253
866804 874252
866803 874251
866802 874250
866801 874249
866800 874248
866792 874247
866791 874246
866790 874245
866787 874244
866786 874243
866785 874242
866784 874241
866763 874240
866762 874239
866755 874238
866748 874237
866747 874236
866746 874235
866745 874234
866744 874233
866743 874232
866742 874231
866741 874230
866739 874229
866738 874228
866725 874227
866721 874226
866716 874225
866715 874224
866699 874223
866670 874222
866669 874221
866668 874220
866667 874219
866666 874218
866665 874217
866664 874216
866663 874215
866662 874214
866661 874213
866651 874212
866650 874211
866649 874210
866648 874209
866647 874208
866643 874207
866550 874206
866549 874205
866495 874204
866494 874203
866493 874202
866492 874201
866491 874200
866490 874199
866489 874198
866488 874197
866487 874196
866486 874195
866463 874194
866462 874193
866461 874192
866460 874191
866459 874190
866458 874189
866457 874188
866456 874187
866455 874186
866454 874185
866435 874184
866434 874183
866433 874182
866432 874181
866431 874180
866413 874179
866412 874178
866411 874177
866410 874176
866409 874175
866408 874174
866407 874173
866406 874172
866405 874171
866404 874170
866403 874169
866402 874168
866401 874167
866400 874166
866399 874165
866398 874164
866397 874163
866396 874162
866386 874161
866385 874160
866378 874159
866369 874158
866349 874157
866339 874156
866310 874155
866309 874154
866308 874153
866304 874152
866263 874151
866262 874150
866233 874149
866217 874148
866216 874147
866212 874146
866211 874145
866210 874144
866209 874143
866196 874142
866186 874141
866185 874140
866168 874139
866167 874138
866161 874137
866159 874136
866145 874135
866144 874134
866143 874133
866142 874132
866141 874131
866140 874130
866139 874129
866138 874128
866137 874127
866136 874126
866135 874125
866134 874124
866133 874123
866132 874122
866131 874121
866130 874120
866129 874119
866128 874118
866116 874117
866087 874116
866086 874115
866085 874114
866083 874113
866082 874112
866081 874111
866080 874110
866075 874109
866054 874108
866034 874107
865981 874106
865980 874105
865967 874104
865959 874103
865958 874102
865957 874101
865956 874100
865920 874099
865905 874098
865899 874097
865898 874096
865897 874095
865896 874094
865895 874093
865894 874092
865893 874091
865892 874090
865891 874089
865890 874088
865886 874087
865885 874086
865879 874085
865863 874084
865854 874083
865853 874082
865827 874081
865805 874080
865804 874079
865803 874078
865802 874077
865791 874076
865790 874075
865789 874074
865785 874073
865784 874072
865783 874071
865780 874070
865763 874069
865762 874068
865761 874067
865758 874066
865757 874065
865756 874064
865726 874063
865725 874062
865724 874061
865723 874060
865722 874059
865721 874058
865720 874057
865694 874056
865693 874055
865689 874054
865682 874053
865673 874052
865672 874051
865671 874050
865656 874049
865655 874048
865645 874047
865644 874046
865641 874045
865640 874044
865639 874043
865627 874042
865626 874041
865623 874040
865571 874039
865566 874038
865557 874037
865526 874036
865509 874035
865482 874034
865470 874033
865447 874032
865446 874031
865445 874030
865444 874029
865443 874028
865442 874027
865441 874026
865440 874025
865439 874024
865438 874023
865437 874022
865436 874021
865435 874020
865434 874019
865433 874018
865432 874017
865431 874016
865430 874015
865415 874014
865414 874013
865413 874012
865412 874011
865411 874010
865410 874009
865409 874008
865402 874007
865386 874006
865385 874005
865384 874004
865383 874003
865381 874002
865380 874001
865372 874000
865359 873999
865358 873998
865343 873997
865342 873996
865303 873995
865287 873994
865286 873993
865274 873992
865273 873991
865237 873990
865236 873989
865235 873988
865234 873987
865222 873986
865189 873985
865188 873984
865187 873983
865186 873982
865185 873981
865184 873980
865183 873979
865182 873978
865173 873977
865172 873976
865171 873975
865170 873974
865155 873973
865140 873972
865125 873971
865124 873970
865123 873969
865122 873968
865077 873967
865076 873966
865075 873965
865071 873964
865070 873963
865061 873962
865060 873961
865029 873960
865028 873959
865027 873958
865026 873957
865025 873956
865024 873955
865023 873954
865022 873953
865021 873952
865015 873951
865004 873950
865003 873949
865002 873948
864982 873947
864981 873946
864970 873945
864953 873944
864951 873943
864950 873942
864949 873941
864948 873940
864947 873939
864946 873938
864943 873937
864942 873936
864941 873935
864920 873934
864910 873933
864909 873932
864883 873931
864852 873930
864829 873929
864828 873928
864827 873927
864821 873926
864814 873925
864813 873924
864808 873923
864802 873922
864801 873921
864800 873920
864799 873919
864798 873918
864797 873917
864796 873916
864795 873915
864794 873914
864793 873913
864792 873912
864785 873911
864784 873910
864757 873909
864742 873908
864741 873907
864740 873906
864737 873905
864734 873904
864733 873903
864732 873902
864725 873901
864711 873900
864710 873899
864695 873898
864693 873897
864692 873896
864691 873895
864658 873894
864653 873893
864636 873892
864635 873891
864634 873890
864628 873889
864627 873888
864626 873887
864625 873886
864611 873885
864610 873884
864609 873883
864596 873882
864582 873881
864565 873880
864564 873879
864563 873878
864562 873877
864561 873876
864560 873875
864559 873874
864558 873873
864557 873872
864556 873871
864555 873870
864554 873869
864553 873868
864552 873867
864551 873866
864550 873865
864549 873864
864508 873863
864507 873862
864506 873861
864499 873860
864488 873859
864481 873858
864480 873857
864479 873856
864478 873855
864477 873854
864476 873853
864475 873852
864474 873851
864473 873850
864444 873849
864439 873848
864438 873847
864424 873846
864423 873845
864417 873844
864413 873843
864412 873842
864411 873841
864410 873840
864402 873839
864385 873838
864386 873837
864384 873836
864364 873835
864363 873834
864354 873833
864295 873832
864294 873831
864267 873830
864266 873829
864265 873828
864264 873827
864263 873826
864224 873825
864223 873824
864222 873823
864221 873822
864220 873821
864219 873820
864218 873819
864217 873818
864216 873817
864215 873816
864184 873815
864183 873814
864182 873813
864181 873812
864180 873811
864144 873810
864143 873809
864131 873808
864108 873807
864107 873806
864106 873805
864105 873804
864088 873803
864087 873802
864086 873801
864085 873800
864084 873799
864083 873798
864067 873797
864040 873796
864039 873795
864017 873794
864016 873793
864015 873792
863993 873791
863949 873790
863937 873789
863929 873788
863928 873787
863927 873786
863926 873785
863925 873784
863921 873783
863918 873782
863917 873781
863869 873780
863865 873779
863859 873778
863858 873777
863857 873776
863856 873775
863855 873774
863854 873773
863853 873772
863840 873771
863788 873770
863783 873769
863782 873768
863781 873767
863780 873766
863779 873765
863778 873764
863777 873763
863763 873762
863762 873761
863761 873760
863760 873759
863759 873758
863758 873757
863757 873756
863756 873755
863755 873754
863754 873753
863712 873752
863711 873751
863710 873750
863709 873749
863660 873748
863652 873747
863651 873746
863644 873745
863643 873744
863642 873743
863639 873742
863638 873741
863637 873740
863636 873739
863635 873738
863634 873737
863632 873736
863631 873735
863633 873734
863630 873733
863629 873732
863628 873731
863627 873730
863626 873729
863625 873728
863617 873727
863594 873726
863580 873725
863579 873724
863573 873723
863536 873722
863535 873721
863534 873720
863533 873719
863531 873717
863529 873716
863502 873715
863501 873714
863498 873713
863497 873712
863490 873711
863489 873710
863477 873709
863476 873708
863459 873707
863458 873706
863457 873705
863456 873704
863455 873703
863454 873702
863453 873701
863431 873700
863419 873699
863418 873698
863417 873697
863416 873696
863415 873695
863414 873694
863413 873693
863412 873692
863401 873691
863380 873690
863379 873689
863377 873688
863376 873687
863375 873686
863374 873685
863356 873684
863355 873683
863354 873682
863353 873681
863352 873680
863350 873679
863349 873678
863348 873677
863347 873676
863346 873675
863325 873674
863324 873673
863323 873672
863322 873671
863321 873670
863320 873669
863319 873668
863318 873667
863276 873666
863265 873665
863264 873664
863246 873663
863243 873662
863242 873661
863227 873660
863220 873659
863219 873658
863218 873657
863217 873656
863216 873655
863197 873654
863196 873653
863176 873652
863156 873651
863155 873650
863152 873649
863151 873648
863123 873647
863095 873646
863094 873645
863093 873644
863072 873643
863071 873642
863070 873641
863037 873640
863030 873639
863023 873638
863022 873637
863021 873636
863003 873635
863002 873634
862986 873633
862985 873632
862984 873631
862973 873630
862972 873629
862969 873628
862963 873627
862962 873626
862954 873625
862953 873624
862926 873623
862911 873622
862906 873621
862877 873620
862869 873619
862863 873618
862862 873617
862859 873616
862856 873615
862855 873614
862847 873613
862827 873612
862813 873611
862812 873610
862811 873609
862810 873608
862809 873607
862801 873606
862800 873605
862799 873604
862798 873603
862797 873602
862796 873601
862795 873600
862792 873599
862791 873598
862779 873597
862778 873596
862777 873595
862776 873594
862775 873593
862774 873592
862771 873591
862762 873590
862761 873589
862760 873588
862759 873587
862758 873586
862757 873585
862756 873584
862739 873583
862738 873582
862737 873581
862735 873580
862734 873579
862729 873578
862725 873577
862680 873576
862668 873575
862667 873574
862666 873573
862665 873572
862664 873571
862663 873570
862662 873569
862661 873568
862660 873567
862659 873566
862658 873565
862657 873564
862656 873563
862655 873562
862654 873561
862653 873560
862624 873559
862597 873558
862596 873557
862581 873556
862576 873555
862558 873554
862557 873553
862489 873552
862481 873551
862480 873550
862479 873549
862478 873548
862475 873547
862474 873546
862452 873545
862438 873544
862437 873543
862408 873542
862407 873541
862406 873540
862389 873539
862376 873538
862375 873537
862374 873536
862363 873535
862353 873534
862348 873533
862345 873532
862337 873531
862336 873530
862335 873529
862334 873528
862333 873527
862332 873526
862331 873525
862330 873524
862329 873523
862328 873522
862327 873521
862326 873520
862325 873519
862324 873518
862323 873517
862322 873516
862318 873515
862300 873514
862299 873513
862298 873512
862297 873511
862296 873510
862295 873509
862294 873508
862292 873507
862278 873506
862270 873505
862269 873504
862268 873503
862258 873502
862257 873501
862243 873500
862240 873499
862239 873498
862196 873497
862195 873496
862194 873495
862193 873494
862130 873493
862129 873492
862128 873491
862098 873490
862096 873489
862095 873488
862061 873487
862039 873486
861991 873485
861990 873484
861989 873483
861988 873482
861987 873481
861986 873480
861985 873479
861984 873478
861983 873477
861971 873476
861970 873475
861969 873474
861968 873473
861967 873472
861966 873471
861965 873470
861964 873469
861962 873468
861956 873467
861941 873466
861938 873465
861935 873464
861930 873463
861863 873462
861842 873461
861824 873460
861823 873459
861822 873458
861805 873457
861804 873456
861803 873455
861802 873454
861801 873453
861800 873452
861799 873451
861763 873450
861762 873449
861761 873448
861760 873447
861759 873446
861758 873445
861757 873444
861741 873443
861740 873442
861739 873441
861735 873440
861734 873439
861733 873438
861732 873437
861731 873436
861724 873435
861723 873434
861722 873433
861721 873432
861720 873431
861707 873430
861681 873429
861674 873428
861673 873427
861643 873426
861625 873425
861624 873424
861623 873423
861622 873422
861604 873421
861585 873420
861561 873419
861560 873418
861559 873417
861536 873416
861535 873415
861534 873414
861533 873413
861532 873412
861531 873411
861530 873410
861529 873409
861518 873408
861517 873407
861516 873406
861515 873405
861514 873404
861513 873403
861512 873402
861511 873401
861510 873400
861509 873399
861508 873398
861484 873397
861483 873395
861467 873394
861454 873393
861450 873392
861444 873391
861443 873390
861442 873389
861441 873388
861424 873387
861423 873386
861382 873385
861379 873384
861378 873383
